
                        S T E P       1


     E I G E N V A L U E   O U T P U T

 MODE NO    EIGENVALUE                       FREQUENCY   
                                     REAL PART            IMAGINARY PART
                           (RAD/TIME)      (CYCLES/TIME     (RAD/TIME)

      1   0.1801060E+03   0.1342036E+02   0.2135916E+01   0.0000000E+00
      2   0.2360617E+04   0.4858618E+02   0.7732731E+01   0.0000000E+00
      3   0.2846882E+04   0.5335618E+02   0.8491899E+01   0.0000000E+00
      4   0.1352070E+05   0.1162785E+03   0.1850631E+02   0.0000000E+00
      5   0.2966275E+05   0.1722288E+03   0.2741106E+02   0.0000000E+00
      6   0.4752649E+05   0.2180057E+03   0.3469669E+02   0.0000000E+00
      7   0.1252868E+06   0.3539588E+03   0.5633430E+02   0.0000000E+00
      8   0.1495659E+06   0.3867375E+03   0.6155118E+02   0.0000000E+00

     P A R T I C I P A T I O N   F A C T O R S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1  -0.6539536E-04  -0.7674493E-13  -0.7928835E+01  -0.3025158E+02  -0.1959017E-15  -0.1817971E-07
      2  -0.4339643E-04   0.1197127E-12  -0.5847543E+01  -0.9287322E+01   0.1630780E-15   0.1635137E-06
      3  -0.7815177E+01  -0.1449945E-13   0.9131804E-03   0.3242263E-07   0.1280525E-15   0.3002837E+02
      4   0.5444578E-04   0.1748396E-12   0.4167356E+01   0.4018590E+01   0.1019961E-15  -0.7259632E-08
      5   0.5609061E+01   0.5518570E-13  -0.9524542E-03  -0.2562302E-08   0.1652549E-15  -0.9654879E+01
      6  -0.3008269E-04   0.3668793E-12  -0.3168830E+01  -0.2184937E+01  -0.1081138E-16  -0.3432278E-09
      7   0.3700699E-04   0.3487442E-12   0.2534075E+01   0.1337670E+01  -0.2892621E-15   0.2389104E-09
      8   0.4243662E+01  -0.9096051E-13  -0.6933027E-03   0.3555497E-09  -0.9901571E-16  -0.4481309E+01

     E F F E C T I V E   M O D A L   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

      1   0.4276554E-08   0.5889785E-26   0.6286643E+02   0.9151578E+03   0.3837747E-31   0.3305019E-15
      2   0.1883250E-08   0.1433112E-25   0.3419376E+02   0.8625434E+02   0.2659444E-31   0.2673675E-13
      3   0.6107700E+02   0.2102341E-27   0.8338984E-06   0.1051227E-14   0.1639745E-31   0.9017028E+03
      4   0.2964343E-08   0.3056889E-25   0.1736685E+02   0.1614907E+02   0.1040320E-31   0.5270225E-16
      5   0.3146156E+02   0.3045462E-26   0.9071690E-06   0.6565394E-17   0.2730917E-31   0.9321669E+02
      6   0.9049682E-09   0.1346004E-24   0.1004148E+02   0.4773950E+01   0.1168860E-33   0.1178053E-18
      7   0.1369517E-08   0.1216225E-24   0.6421536E+01   0.1789360E+01   0.8367257E-31   0.5707819E-19
      8   0.1800866E+02   0.8273814E-26   0.4806687E-06   0.1264156E-18   0.9804110E-32   0.2008213E+02
TOTAL     0.1105472E+03   0.3185422E-24   0.1308901E+03   0.1024125E+04   0.2126753E-30   0.1015002E+04

     T O T A L   E F F E C T I V E   M A S S

MODE NO.   X-COMPONENT     Y-COMPONENT     Z-COMPONENT     X-ROTATION      Y-ROTATION      Z-ROTATION

          0.1567513E+03   0.1563430E+03   0.1563422E+03   0.1026774E+04   0.8940483E-03   0.1026775E+04

